# Observation File: water_balance.csv column names:
# -----------------------------------------------------------------------------
# Observation Name: time [h]
# -----------------------------------------------------------------------------
# Observation Name: runoff generation [mol s^-1]
# Region: surface domain boundary
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: gate intake ponded depth [m]
# Region: gate intake area
# Reduction: average
# Variable: surface-ponded_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: gate intake stage [m]
# Region: gate intake area
# Reduction: average
# Variable: surface-pres_elev
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: detention pond ponded depth [m]
# Region: detention pond
# Reduction: average
# Variable: surface-ponded_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: detention pond stage [m]
# Region: detention pond
# Reduction: average
# Variable: surface-pres_elev
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: precipitation [m s^-1]
# Region: surface domain
# Reduction: average
# Variable: surface-water_source_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: gate flow [mol s^-1]
# Region: gate intake area
# Reduction: integral
# Variable: surface-gate_flow
# Number of Vectors: 1
# =============================================================================
"time [h]","runoff generation [mol s^-1]","gate intake ponded depth [m]","gate intake stage [m]","detention pond ponded depth [m]","detention pond stage [m]","surface water content [mol]","subsurface water content [mol]","precipitation [m s^-1]","gate flow [mol s^-1]"
2.300000000000e+00,2.436832234752e+04,2.374020542305e-01,8.483057892823e+00,6.749901847196e-02,7.407175957593e+00,1.822959804328e+08,2.802533258157e+10,1.332241767793e-07,-1.063973322684e+04
2.400000000000e+00,2.341490704081e+04,2.324041201254e-01,8.478059958718e+00,7.877389617020e-02,7.418450835291e+00,1.743572539760e+08,2.802531680810e+10,1.332241767793e-07,-9.721727434710e+03
2.500000000000e+00,2.228886514850e+04,2.264696334153e-01,8.472125472008e+00,8.879244872210e-02,7.428469387843e+00,1.668367810683e+08,2.802528810182e+10,1.332241767793e-07,-8.631698423022e+03
2.600000000000e+00,2.109949114136e+04,2.200760675422e-01,8.465731906135e+00,9.745895129295e-02,7.437135890414e+00,1.597556494938e+08,2.802524822795e+10,1.332241767793e-07,-7.457347105011e+03
2.700000000000e+00,1.992018201791e+04,2.135735306368e-01,8.459229369229e+00,1.047511319019e-01,7.444428071023e+00,1.531073312347e+08,2.802520009419e+10,1.332241767793e-07,-6.262979458837e+03
2.800000000000e+00,1.878832298322e+04,2.071527432099e-01,8.452808581802e+00,1.110240749720e-01,7.450701014093e+00,1.467714858743e+08,2.802514645102e+10,1.332241767793e-07,-5.083627311593e+03
2.900000000000e+00,1.774717711644e+04,2.010803445909e-01,8.446736183183e+00,1.156785274699e-01,7.455355466591e+00,1.409177052519e+08,2.802508605912e+10,1.332241767793e-07,-3.968266336365e+03
3.000000000000e+00,1.680656570541e+04,1.954429484338e-01,8.441098787026e+00,1.191438843450e-01,7.458820823466e+00,1.354067108301e+08,2.802502149731e+10,1.332241767793e-07,-2.932805868121e+03
3.100000000000e+00,1.596726113991e+04,1.902768152430e-01,8.435932653835e+00,1.215202104471e-01,7.461197149568e+00,1.302015220857e+08,2.802495327921e+10,1.332241767793e-07,-1.983905605718e+03
3.200000000000e+00,1.522375715261e+04,1.855835318679e-01,8.431239370460e+00,1.229082302577e-01,7.462585169379e+00,1.252670231681e+08,2.802488203746e+10,1.332241767793e-07,-1.121857017017e+03
3.300000000000e+00,1.457235178534e+04,1.814111595165e-01,8.427066998109e+00,1.235978694998e-01,7.463274808621e+00,1.205182177686e+08,2.802480378035e+10,1.332241767793e-07,-2.923765462412e+02
3.400000000000e+00,1.376488360322e+04,1.757037442518e-01,8.421359582844e+00,1.237777255055e-01,7.463454664627e+00,1.161363762546e+08,2.802470507026e+10,1.332241767793e-07,0.000000000000e+00
3.500000000000e+00,1.279277523872e+04,1.686351414858e-01,8.414290980078e+00,1.239613821578e-01,7.463638321279e+00,1.121054969175e+08,2.802460534343e+10,1.332241767793e-07,0.000000000000e+00
3.600000000000e+00,1.183005782004e+04,1.615444125037e-01,8.407200251096e+00,1.241534024432e-01,7.463830341564e+00,1.084234385668e+08,2.802450328417e+10,1.332241767793e-07,0.000000000000e+00
3.700000000000e+00,1.093540885434e+04,1.547388586015e-01,8.400394697194e+00,1.243466022706e-01,7.464023541392e+00,1.050629796634e+08,2.802440196841e+10,1.332241767793e-07,0.000000000000e+00
3.800000000000e+00,1.010783562935e+04,1.481915631488e-01,8.393847401741e+00,1.245389175326e-01,7.464215856654e+00,1.019267777045e+08,2.802430143310e+10,1.332241767793e-07,0.000000000000e+00
3.900000000000e+00,9.369513548458e+03,1.421249902890e-01,8.387780828881e+00,1.247296771994e-01,7.464406616321e+00,9.912728651629e+07,2.802420274995e+10,1.332241767793e-07,0.000000000000e+00
4.000000000000e+00,8.703063452914e+03,1.364335005188e-01,8.382089339111e+00,1.249204315365e-01,7.464597370658e+00,9.656658596531e+07,2.802410554492e+10,1.332241767793e-07,0.000000000000e+00
4.100000000000e+00,8.101188777960e+03,1.310982413553e-01,8.376754079948e+00,1.251089298654e-01,7.464785868987e+00,9.422067149443e+07,2.802400984610e+10,1.332241767793e-07,0.000000000000e+00
4.200000000000e+00,7.557039050607e+03,1.260983568157e-01,8.371754195408e+00,1.252974944441e-01,7.464974433565e+00,9.206952199851e+07,2.802391556653e+10,1.332241767793e-07,0.000000000000e+00
4.300000000000e+00,7.056559712268e+03,1.213334902639e-01,8.366989328856e+00,1.254843140596e-01,7.465161253181e+00,9.005311842636e+07,2.802382248118e+10,1.332241767793e-07,0.000000000000e+00
4.400000000000e+00,6.610156715078e+03,1.169434645745e-01,8.362599303167e+00,1.256696655770e-01,7.465346604698e+00,8.823950162271e+07,2.802373125301e+10,1.332241767793e-07,0.000000000000e+00
4.500000000000e+00,6.205111755849e+03,1.128303803769e-01,8.358486218969e+00,1.258547823175e-01,7.465531721439e+00,8.657050929163e+07,2.802364147930e+10,1.332241767793e-07,0.000000000000e+00
4.600000000000e+00,5.836939877671e+03,1.089756267212e-01,8.354631465313e+00,1.260379835208e-01,7.465714922642e+00,8.503241725282e+07,2.802355310209e+10,1.332241767793e-07,0.000000000000e+00
4.700000000000e+00,5.501725296530e+03,1.053616160079e-01,8.351017454600e+00,1.262200552774e-01,7.465896994399e+00,8.361410847208e+07,2.802346559901e+10,1.332241767793e-07,0.000000000000e+00
4.800000000000e+00,5.191294293538e+03,1.019166036666e-01,8.347572442259e+00,1.264013491145e-01,7.466078288236e+00,8.227971442022e+07,2.802337863668e+10,1.332241767793e-07,0.000000000000e+00
4.900000000000e+00,4.912194807634e+03,9.873759848695e-02,8.344393437079e+00,1.265785435952e-01,7.466255482716e+00,8.107042626982e+07,2.802329341477e+10,1.332241767793e-07,0.000000000000e+00
5.000000000000e+00,4.656973016476e+03,9.575396460322e-02,8.341409803196e+00,1.267576750150e-01,7.466434614136e+00,7.995262150017e+07,2.802320950189e+10,1.332241767793e-07,0.000000000000e+00
5.100000000000e+00,4.423183009251e+03,9.295263161651e-02,8.338608470209e+00,1.269359496052e-01,7.466612888726e+00,7.891767141334e+07,2.802312691540e+10,1.332241767793e-07,0.000000000000e+00
5.200000000000e+00,4.208699733354e+03,9.032134261500e-02,8.335977181207e+00,1.271134009320e-01,7.466790340053e+00,7.795881417331e+07,2.802304546547e+10,1.332241767793e-07,0.000000000000e+00
5.300000000000e+00,4.008719702534e+03,8.781002080309e-02,8.333465859395e+00,1.272902634780e-01,7.466967202599e+00,7.705360233239e+07,2.802296472111e+10,1.332241767793e-07,0.000000000000e+00
5.400000000000e+00,3.827493402274e+03,8.548643100351e-02,8.331142269596e+00,1.274660314606e-01,7.467142970582e+00,7.622992630168e+07,2.802288531493e+10,1.332241767793e-07,0.000000000000e+00
5.500000000000e+00,3.660562530228e+03,8.330078528231e-02,8.328956623875e+00,1.276409891184e-01,7.467317928240e+00,7.546541454329e+07,2.802280684863e+10,1.332241767793e-07,0.000000000000e+00
5.600000000000e+00,3.506552781664e+03,8.124391545533e-02,8.326899754048e+00,1.278151449307e-01,7.467492084052e+00,7.475585309776e+07,2.802272886576e+10,1.332241767793e-07,0.000000000000e+00
5.700000000000e+00,3.364270747147e+03,7.930736000786e-02,8.324963198600e+00,1.279885194704e-01,7.467665458592e+00,7.409669965515e+07,2.802265168692e+10,1.332241767793e-07,0.000000000000e+00
5.800000000000e+00,3.230788616443e+03,7.745608957608e-02,8.323111928168e+00,1.281612717032e-01,7.467838210824e+00,7.347307426840e+07,2.802257525108e+10,1.332241767793e-07,0.000000000000e+00
5.900000000000e+00,3.108956516775e+03,7.573828547538e-02,8.321394124068e+00,1.283331530096e-01,7.468010092131e+00,7.290397171945e+07,2.802249995019e+10,1.332241767793e-07,0.000000000000e+00
6.000000000000e+00,2.996023564852e+03,7.411893499749e-02,8.319774773590e+00,1.285042672165e-01,7.468181206338e+00,7.237471720607e+07,2.802242544969e+10,1.332241767793e-07,0.000000000000e+00
6.100000000000e+00,2.891201980269e+03,7.259183156290e-02,8.318247670155e+00,1.286746659786e-01,7.468351605100e+00,7.188236086204e+07,2.802235178973e+10,1.332241767793e-07,0.000000000000e+00
6.200000000000e+00,2.793804220240e+03,7.115125718931e-02,8.316807095782e+00,1.288443579458e-01,7.468521297067e+00,7.142425848933e+07,2.802227893966e+10,1.332241767793e-07,0.000000000000e+00
6.300000000000e+00,2.701971203702e+03,6.977237481561e-02,8.315428213408e+00,1.290135107504e-01,7.468690449872e+00,7.099065682971e+07,2.802220652738e+10,1.332241767793e-07,0.000000000000e+00
6.400000000000e+00,2.617680433934e+03,6.849011541480e-02,8.314145954007e+00,1.291818140967e-01,7.468858753218e+00,7.059470496322e+07,2.802213491194e+10,1.332241767793e-07,0.000000000000e+00
6.500000000000e+00,2.539154816508e+03,6.727935895884e-02,8.312935197551e+00,1.293494230502e-01,7.469026362171e+00,7.022630946355e+07,2.802206401242e+10,1.332241767793e-07,0.000000000000e+00
6.600000000000e+00,2.465922786163e+03,6.613581946233e-02,8.311791658055e+00,1.295161650755e-01,7.469193104197e+00,6.988368791708e+07,2.802199363664e+10,1.332241767793e-07,0.000000000000e+00
6.700000000000e+00,2.397567102564e+03,6.505544935130e-02,8.310711287944e+00,1.296826434219e-01,7.469359582543e+00,6.956519741494e+07,2.802192385059e+10,1.332241767793e-07,0.000000000000e+00
6.800000000000e+00,2.332855185700e+03,6.402024884115e-02,8.309676087433e+00,1.298485380084e-01,7.469525477130e+00,6.926410369582e+07,2.802185420333e+10,1.332241767793e-07,0.000000000000e+00
6.900000000000e+00,2.273187562384e+03,6.305589832006e-02,8.308711736912e+00,1.300136686484e-01,7.469690607770e+00,6.898957411120e+07,2.802178519734e+10,1.332241767793e-07,0.000000000000e+00
7.000000000000e+00,2.217379066150e+03,6.214421252741e-02,8.307800051120e+00,1.301782051821e-01,7.469855144303e+00,6.873462732511e+07,2.802171669966e+10,1.332241767793e-07,0.000000000000e+00
7.100000000000e+00,2.165135737282e+03,6.128217321516e-02,8.306938011807e+00,1.303421589934e-01,7.470019098115e+00,6.849797783302e+07,2.802164871172e+10,1.332241767793e-07,0.000000000000e+00
7.200000000000e+00,2.116197838247e+03,6.046696295911e-02,8.306122801551e+00,1.305055647351e-01,7.470182503856e+00,6.827840161896e+07,2.802158127478e+10,1.332241767793e-07,0.000000000000e+00
7.300000000000e+00,2.069723969497e+03,5.968536133554e-02,8.305341199928e+00,1.306685254959e-01,7.470345464617e+00,6.807102322747e+07,2.802151424857e+10,1.332241767793e-07,0.000000000000e+00
7.400000000000e+00,2.026737710382e+03,5.895658025379e-02,8.304612418846e+00,1.308307946848e-01,7.470507733806e+00,6.788259386063e+07,2.802144786384e+10,1.332241767793e-07,0.000000000000e+00
7.500000000000e+00,1.986416512775e+03,5.826719478406e-02,8.303923033376e+00,1.309925235828e-01,7.470669462704e+00,6.770836815902e+07,2.802138179141e+10,1.332241767793e-07,0.000000000000e+00
7.600000000000e+00,1.948570457028e+03,5.761503488969e-02,8.303270873482e+00,1.311537209056e-01,7.470830660027e+00,6.754732623838e+07,2.802131615926e+10,1.332241767793e-07,0.000000000000e+00
7.700000000000e+00,1.913031875791e+03,5.699807960674e-02,8.302653918199e+00,1.313143983200e-01,7.470991337441e+00,6.739860387437e+07,2.802125100146e+10,1.332241767793e-07,0.000000000000e+00
7.800000000000e+00,1.879205946019e+03,5.640645221692e-02,8.302062290809e+00,1.314746904422e-01,7.471151629563e+00,6.725873051724e+07,2.802118617496e+10,1.332241767793e-07,0.000000000000e+00
7.900000000000e+00,1.847850940981e+03,5.585467939967e-02,8.301510517992e+00,1.316343542626e-01,7.471311293384e+00,6.713257770517e+07,2.802112191274e+10,1.332241767793e-07,0.000000000000e+00
8.000000000000e+00,1.818381753264e+03,5.533271486456e-02,8.300988553457e+00,1.317935254057e-01,7.471470464527e+00,6.701661344316e+07,2.802105807081e+10,1.332241767793e-07,0.000000000000e+00
