# Observation File: surface-water_source.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface-precipitation
# Region: computational domain
# Functional: average
# Variable: surface-water_source
# Number of Vectors: 1
# =============================================================================
"time [s]" "surface-precipitation"
0.000000000000e+00 0.000000000000e+00
8.640000000000e+04 0.000000000000e+00
1.728000000000e+05 0.000000000000e+00
2.592000000000e+05 0.000000000000e+00
3.456000000000e+05 0.000000000000e+00
4.320000000000e+05 0.000000000000e+00
5.184000000000e+05 0.000000000000e+00
6.048000000000e+05 0.000000000000e+00
6.912000000000e+05 0.000000000000e+00
7.776000000000e+05 0.000000000000e+00
8.640000000000e+05 0.000000000000e+00
9.504000000000e+05 0.000000000000e+00
1.036800000000e+06 0.000000000000e+00
1.123200000000e+06 0.000000000000e+00
1.209600000000e+06 0.000000000000e+00
1.296000000000e+06 0.000000000000e+00
1.382400000000e+06 0.000000000000e+00
1.468800000000e+06 0.000000000000e+00
1.555200000000e+06 0.000000000000e+00
1.641600000000e+06 0.000000000000e+00
1.728000000000e+06 0.000000000000e+00
1.814400000000e+06 0.000000000000e+00
1.900800000000e+06 0.000000000000e+00
1.987200000000e+06 0.000000000000e+00
2.073600000000e+06 0.000000000000e+00
2.160000000000e+06 0.000000000000e+00
2.246400000000e+06 0.000000000000e+00
2.332800000000e+06 0.000000000000e+00
2.419200000000e+06 0.000000000000e+00
2.505600000000e+06 0.000000000000e+00
2.592000000000e+06 0.000000000000e+00
2.678400000000e+06 0.000000000000e+00
2.764800000000e+06 0.000000000000e+00
2.851200000000e+06 0.000000000000e+00
2.937600000000e+06 0.000000000000e+00
3.024000000000e+06 0.000000000000e+00
3.110400000000e+06 0.000000000000e+00
3.196800000000e+06 0.000000000000e+00
3.283200000000e+06 0.000000000000e+00
3.369600000000e+06 0.000000000000e+00
3.456000000000e+06 0.000000000000e+00
3.542400000000e+06 0.000000000000e+00
3.628800000000e+06 0.000000000000e+00
3.715200000000e+06 0.000000000000e+00
3.801600000000e+06 0.000000000000e+00
3.888000000000e+06 0.000000000000e+00
3.974400000000e+06 0.000000000000e+00
4.060800000000e+06 0.000000000000e+00
4.147200000000e+06 0.000000000000e+00
4.233600000000e+06 0.000000000000e+00
4.320000000000e+06 0.000000000000e+00
4.406400000000e+06 1.000000000000e-06
4.492800000000e+06 1.000000000000e-06
4.579200000000e+06 1.000000000000e-06
4.665600000000e+06 1.000000000000e-06
4.752000000000e+06 1.000000000000e-06
4.838400000000e+06 1.000000000000e-06
4.924800000000e+06 1.000000000000e-06
5.011200000000e+06 1.000000000000e-06
5.097600000000e+06 1.000000000000e-06
5.184000000000e+06 1.000000000000e-06
5.270400000000e+06 1.000000000000e-06
5.356800000000e+06 1.000000000000e-06
5.443200000000e+06 1.000000000000e-06
5.529600000000e+06 1.000000000000e-06
5.616000000000e+06 1.000000000000e-06
5.702400000000e+06 1.000000000000e-06
5.788800000000e+06 1.000000000000e-06
5.875200000000e+06 1.000000000000e-06
5.961600000000e+06 1.000000000000e-06
6.048000000000e+06 1.000000000000e-06
6.134400000000e+06 1.000000000000e-06
6.220800000000e+06 1.000000000000e-06
6.307200000000e+06 1.000000000000e-06
6.393600000000e+06 1.000000000000e-06
6.480000000000e+06 1.000000000000e-06
6.566400000000e+06 0.000000000000e+00
6.652800000000e+06 0.000000000000e+00
6.739200000000e+06 0.000000000000e+00
6.825600000000e+06 0.000000000000e+00
6.912000000000e+06 0.000000000000e+00
6.998400000000e+06 0.000000000000e+00
7.084800000000e+06 0.000000000000e+00
7.171200000000e+06 0.000000000000e+00
7.257600000000e+06 0.000000000000e+00
7.344000000000e+06 0.000000000000e+00
7.430400000000e+06 0.000000000000e+00
7.516800000000e+06 0.000000000000e+00
7.603200000000e+06 0.000000000000e+00
7.689600000000e+06 0.000000000000e+00
7.776000000000e+06 0.000000000000e+00
7.862400000000e+06 0.000000000000e+00
7.948800000000e+06 0.000000000000e+00
8.035200000000e+06 0.000000000000e+00
8.121600000000e+06 0.000000000000e+00
8.208000000000e+06 0.000000000000e+00
8.294400000000e+06 0.000000000000e+00
8.380800000000e+06 0.000000000000e+00
8.467200000000e+06 0.000000000000e+00
8.553600000000e+06 0.000000000000e+00
8.640000000000e+06 0.000000000000e+00
8.726400000000e+06 2.000000000000e-06
8.812800000000e+06 2.000000000000e-06
8.899200000000e+06 2.000000000000e-06
8.985600000000e+06 2.000000000000e-06
9.072000000000e+06 2.000000000000e-06
9.158400000000e+06 2.000000000000e-06
9.244800000000e+06 2.000000000000e-06
9.331200000000e+06 2.000000000000e-06
9.417600000000e+06 2.000000000000e-06
9.504000000000e+06 2.000000000000e-06
9.590400000000e+06 2.000000000000e-06
9.676800000000e+06 2.000000000000e-06
9.763200000000e+06 2.000000000000e-06
9.849600000000e+06 2.000000000000e-06
9.936000000000e+06 2.000000000000e-06
1.002240000000e+07 2.000000000000e-06
1.010880000000e+07 2.000000000000e-06
1.019520000000e+07 2.000000000000e-06
1.028160000000e+07 2.000000000000e-06
1.036800000000e+07 2.000000000000e-06
1.045440000000e+07 2.000000000000e-06
1.054080000000e+07 2.000000000000e-06
1.062720000000e+07 2.000000000000e-06
1.071360000000e+07 2.000000000000e-06
1.080000000000e+07 2.000000000000e-06
1.088640000000e+07 0.000000000000e+00
1.097280000000e+07 0.000000000000e+00
1.105920000000e+07 0.000000000000e+00
1.114560000000e+07 0.000000000000e+00
1.123200000000e+07 0.000000000000e+00
1.131840000000e+07 0.000000000000e+00
1.140480000000e+07 0.000000000000e+00
1.149120000000e+07 0.000000000000e+00
1.157760000000e+07 0.000000000000e+00
1.166400000000e+07 0.000000000000e+00
1.175040000000e+07 0.000000000000e+00
1.183680000000e+07 0.000000000000e+00
1.192320000000e+07 0.000000000000e+00
1.200960000000e+07 0.000000000000e+00
1.209600000000e+07 0.000000000000e+00
1.218240000000e+07 0.000000000000e+00
1.226880000000e+07 0.000000000000e+00
1.235520000000e+07 0.000000000000e+00
1.244160000000e+07 0.000000000000e+00
1.252800000000e+07 0.000000000000e+00
1.261440000000e+07 0.000000000000e+00
1.270080000000e+07 0.000000000000e+00
1.278720000000e+07 0.000000000000e+00
1.287360000000e+07 0.000000000000e+00
1.296000000000e+07 0.000000000000e+00
1.304640000000e+07 1.000000000000e-06
1.313280000000e+07 1.000000000000e-06
1.321920000000e+07 1.000000000000e-06
1.330560000000e+07 1.000000000000e-06
1.339200000000e+07 1.000000000000e-06
1.347840000000e+07 1.000000000000e-06
1.356480000000e+07 1.000000000000e-06
1.365120000000e+07 1.000000000000e-06
1.373760000000e+07 1.000000000000e-06
1.382400000000e+07 1.000000000000e-06
1.391040000000e+07 1.000000000000e-06
1.399680000000e+07 1.000000000000e-06
1.408320000000e+07 1.000000000000e-06
1.416960000000e+07 1.000000000000e-06
1.425600000000e+07 1.000000000000e-06
1.434240000000e+07 1.000000000000e-06
1.442880000000e+07 1.000000000000e-06
1.451520000000e+07 1.000000000000e-06
1.460160000000e+07 1.000000000000e-06
1.468800000000e+07 1.000000000000e-06
1.477440000000e+07 1.000000000000e-06
1.486080000000e+07 1.000000000000e-06
1.494720000000e+07 1.000000000000e-06
1.503360000000e+07 1.000000000000e-06
1.512000000000e+07 1.000000000000e-06
