# Observation File: water_balance.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: runoff surface [mol d^-1]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: runoff subsurface [mol d^-1]
# Region: lakeside
# Reduction: extensive integral
# Variable: water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain precipitation [m d^-1]
# Region: surface domain
# Reduction: integral
# Variable: surface-water_source
# Number of Vectors: 1
# =============================================================================
"time [d]","surface water content [mol]","subsurface water content [mol]","runoff surface [mol d^-1]","runoff subsurface [mol d^-1]","rain precipitation [m d^-1]"
7.265658737064e+01,2.398708699838e+05,9.227685670400e+07,0.000000000000e+00,9.096105118566e+02,9.956824444578e-02
7.496140784393e+01,2.596343472193e+05,9.226166450677e+07,0.000000000000e+00,9.036548381862e+02,9.956824444578e-02
7.784243343553e+01,2.843206895030e+05,9.224270374328e+07,0.000000000000e+00,1.120454577708e+03,1.244603055572e-01
8.144371542503e+01,3.151113699410e+05,9.221908254429e+07,0.000000000000e+00,1.386761154570e+03,1.555753819465e-01
8.504499741453e+01,3.458006567342e+05,9.219557698755e+07,0.000000000000e+00,1.373444190425e+03,1.555753819465e-01
8.684563840929e+01,3.611319959305e+05,9.218384061409e+07,0.000000000000e+00,6.834582314028e+02,7.778769097326e-02
8.864627940404e+01,3.764453342268e+05,9.217212527021e+07,0.000000000000e+00,6.802621304491e+02,7.778769097326e-02
9.044692039879e+01,3.917382569976e+05,9.216043365939e+07,0.000000000000e+00,6.771366270572e+02,7.778769097326e-02
9.269772164223e+01,4.108182790069e+05,9.214586022354e+07,0.000000000000e+00,8.416811259935e+02,9.723461371658e-02
9.551122319653e+01,4.346050443263e+05,9.212771323982e+07,0.000000000000e+00,1.044990642062e+03,1.215432671457e-01
9.990731937512e+01,4.716004440995e+05,9.209954653263e+07,0.000000000000e+00,1.616629132912e+03,1.899113549152e-01
1.042003820495e+02,5.075524325434e+05,9.207223170947e+07,0.000000000000e+00,1.564481772370e+03,1.854603075344e-01
1.084934447239e+02,5.433143980824e+05,9.204511798058e+07,0.000000000000e+00,1.551424089713e+03,1.854603075344e-01
1.127865073983e+02,5.788816535107e+05,9.201821056867e+07,0.000000000000e+00,1.539594022057e+03,1.854603075344e-01
1.149330387355e+02,5.966169820200e+05,9.200480852193e+07,0.000000000000e+00,7.669948123918e+02,9.273015376719e-02
1.170795700727e+02,6.143025645696e+05,9.199145860806e+07,0.000000000000e+00,7.643486366794e+02,9.273015376719e-02
1.192261014100e+02,6.319401428022e+05,9.197815930191e+07,0.000000000000e+00,7.618593500529e+02,9.273015376719e-02
1.213726327472e+02,6.495319843150e+05,9.196490810353e+07,0.000000000000e+00,7.595276165152e+02,9.273015376719e-02
1.240557969187e+02,6.714483517877e+05,9.194842088591e+07,0.000000000000e+00,9.460748560902e+02,1.159126922090e-01
1.274097521330e+02,6.987258342151e+05,9.192793482941e+07,0.000000000000e+00,1.177987009285e+03,1.448908652612e-01
1.300300296443e+02,7.199647965940e+05,9.191200575963e+07,0.000000000000e+00,9.177787296006e+02,1.131959884853e-01
1.326503071555e+02,7.408418663753e+05,9.189643891611e+07,0.000000000000e+00,9.155430471235e+02,1.131959884853e-01
1.352705846667e+02,7.617238473464e+05,9.188086913604e+07,0.000000000000e+00,9.135950096272e+02,1.131959884853e-01
1.378908621780e+02,7.825719515595e+05,9.186533427927e+07,0.000000000000e+00,9.119343433299e+02,1.131959884853e-01
1.411662090670e+02,8.085584052614e+05,9.184599209613e+07,0.000000000000e+00,1.137883656888e+03,1.414949856067e-01
1.444415559561e+02,8.344582814998e+05,9.182673807534e+07,0.000000000000e+00,1.136409145988e+03,1.414949856067e-01
1.477169028451e+02,8.602649241237e+05,9.180757927861e+07,0.000000000000e+00,1.135493468746e+03,1.414949856067e-01
1.509922497341e+02,8.859720905801e+05,9.178852030861e+07,0.000000000000e+00,1.135135402807e+03,1.414949856067e-01
1.550864333455e+02,9.179436197023e+05,9.176485822895e+07,0.000000000000e+00,1.419444031298e+03,1.768687320083e-01
1.602041628596e+02,9.576486623121e+05,9.173553686761e+07,0.000000000000e+00,1.777223315778e+03,2.210859150104e-01
1.627630276166e+02,9.774364422972e+05,9.172093953429e+07,0.000000000000e+00,8.896024679928e+02,1.105429575052e-01
1.653218923737e+02,9.971587334510e+05,9.170640608526e+07,0.000000000000e+00,8.908529295162e+02,1.105429575052e-01
1.678807571308e+02,1.016815804011e+06,9.169193665263e+07,0.000000000000e+00,8.923613020506e+02,1.105429575052e-01
1.710793380771e+02,1.041284788756e+06,9.167394980911e+07,0.000000000000e+00,1.118306885037e+03,1.381786968815e-01
1.750775642600e+02,1.071724000823e+06,9.165160706381e+07,0.000000000000e+00,1.403302907230e+03,1.727233711019e-01
1.790757904429e+02,1.102020609368e+06,9.162939943078e+07,0.000000000000e+00,1.409663109807e+03,1.727233711019e-01
1.840735731716e+02,1.139669656540e+06,9.160185114620e+07,0.000000000000e+00,1.773803844022e+03,2.159042138774e-01
1.890713559002e+02,1.177093024817e+06,9.157451509494e+07,0.000000000000e+00,1.787263277832e+03,2.159042138774e-01
1.940691386289e+02,1.214290629968e+06,9.154739289715e+07,0.000000000000e+00,1.802400694917e+03,2.159042138774e-01
1.965680299932e+02,1.232836600113e+06,9.153388452582e+07,0.000000000000e+00,9.051924840588e+02,1.079521069387e-01
1.996916441986e+02,1.255927294449e+06,9.151708131397e+07,0.000000000000e+00,1.138123297550e+03,1.349401336734e-01
2.035961619553e+02,1.284642855850e+06,9.149620634549e+07,0.000000000000e+00,1.433765720266e+03,1.686751670917e-01
2.066465664528e+02,1.306992532744e+06,9.147997566009e+07,0.000000000000e+00,1.127261352750e+03,1.317774742904e-01
2.096969709503e+02,1.329265001279e+06,9.146382225448e+07,0.000000000000e+00,1.134734556226e+03,1.317774742904e-01
2.127473754477e+02,1.351446943833e+06,9.144774551211e+07,0.000000000000e+00,1.142540680079e+03,1.317774742904e-01
2.142725776965e+02,1.362517594761e+06,9.143972604665e+07,0.000000000000e+00,5.732634773207e+02,6.588873714519e-02
2.157977799452e+02,1.373567222502e+06,9.143172544092e+07,0.000000000000e+00,5.752974306796e+02,6.588873714519e-02
2.173229821939e+02,1.384598552179e+06,9.142374361817e+07,0.000000000000e+00,5.773717076730e+02,6.588873714519e-02
2.188481844427e+02,1.395613255751e+06,9.141578051908e+07,0.000000000000e+00,5.794858128876e+02,6.588873714519e-02
2.207546872536e+02,1.409340213963e+06,9.140585573086e+07,0.000000000000e+00,7.277369185451e+02,8.236092143149e-02
2.231378157672e+02,1.426453786294e+06,9.139349470563e+07,0.000000000000e+00,9.150978528494e+02,1.029511517894e-01
2.268614540698e+02,1.453066227511e+06,9.137428817219e+07,0.000000000000e+00,1.443625603499e+03,1.608611746709e-01
2.287232732211e+02,1.466339628179e+06,9.136470998830e+07,0.000000000000e+00,7.253266583786e+02,8.043058733544e-02
2.310505471602e+02,1.482890769788e+06,9.135277686722e+07,0.000000000000e+00,9.122762944647e+02,1.005382341693e-01
