# Observation File: water_balance.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: surface runoff [mol d^-1]
# Region: outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface seepage [mol d^-1]
# Region: lakeside
# Reduction: extensive integral
# Variable: water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evapotranspiration [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface-total_evapotranspiration
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow precipitation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow melt [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain precipitation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# =============================================================================
"time [d]","surface runoff [mol d^-1]","subsurface seepage [mol d^-1]","evapotranspiration [m d^-1]","snow precipitation [m d^-1]","snow melt [m d^-1]","rain precipitation [m d^-1]","surface water content [mol]","subsurface water content [mol]","snow water content [mol]"
3.600000000000e+02,0.000000000000e+00,1.194009352343e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729040734869e+06,1.145457274995e+08,9.393488372093e+05
3.610000000000e+02,0.000000000000e+00,1.203224743503e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729070806398e+06,1.145336651815e+08,9.393488372093e+05
3.620000000000e+02,0.000000000000e+00,1.210436580989e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729092897528e+06,1.145215387254e+08,9.393488372093e+05
3.630000000000e+02,0.000000000000e+00,1.216026693965e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729108998447e+06,1.145093623575e+08,9.393488372093e+05
3.640000000000e+02,0.000000000000e+00,1.220324314551e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729120507355e+06,1.144971476061e+08,9.393488372093e+05
3.650000000000e+02,0.000000000000e+00,1.223602861735e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729128434735e+06,1.144849036505e+08,9.393488372093e+05
3.660000000000e+02,0.000000000000e+00,1.226083586768e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729133525518e+06,1.144726377243e+08,9.393488372093e+05
3.670000000000e+02,0.000000000000e+00,1.227942109762e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729136336899e+06,1.144603554921e+08,9.393488372093e+05
3.680000000000e+02,0.000000000000e+00,1.229316013738e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729137290279e+06,1.144480613788e+08,9.393488372093e+05
3.690000000000e+02,0.000000000000e+00,1.230312110461e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729136707287e+06,1.144357588409e+08,9.393488372093e+05
3.700000000000e+02,0.000000000000e+00,1.231012820627e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729134835604e+06,1.144234505845e+08,9.393488372093e+05
3.710000000000e+02,0.000000000000e+00,1.231481505971e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729131868129e+06,1.144111387370e+08,9.393488372093e+05
3.720000000000e+02,0.000000000000e+00,1.231766770713e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729127954611e+06,1.143988249829e+08,9.393488372093e+05
3.730000000000e+02,0.000000000000e+00,1.231905873328e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729123213587e+06,1.143865106653e+08,9.393488372093e+05
3.740000000000e+02,0.000000000000e+00,1.231927392941e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729117739674e+06,1.143741968653e+08,9.393488372093e+05
3.750000000000e+02,0.000000000000e+00,1.231853606573e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729111609213e+06,1.143618844658e+08,9.393488372093e+05
3.760000000000e+02,0.000000000000e+00,1.231700605716e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729104884299e+06,1.143495741846e+08,9.393488372093e+05
3.770000000000e+02,0.000000000000e+00,1.231482144744e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729097616318e+06,1.143372666312e+08,9.393488372093e+05
3.780000000000e+02,0.000000000000e+00,1.231208489687e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729089848216e+06,1.143249623180e+08,9.393488372093e+05
3.790000000000e+02,0.000000000000e+00,1.230887274142e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729081616298e+06,1.143126616802e+08,9.393488372093e+05
3.800000000000e+02,0.000000000000e+00,1.230524878754e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729072951647e+06,1.143003650987e+08,9.393488372093e+05
3.810000000000e+02,0.000000000000e+00,1.230126337740e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729063881145e+06,1.142880729082e+08,9.393488372093e+05
3.820000000000e+02,0.000000000000e+00,1.229695582211e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729054428276e+06,1.142757854052e+08,9.393488372093e+05
3.830000000000e+02,0.000000000000e+00,1.229236062806e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729044613796e+06,1.142635028591e+08,9.393488372093e+05
3.840000000000e+02,0.000000000000e+00,1.228750495523e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729034456227e+06,1.142512255134e+08,9.393488372093e+05
3.850000000000e+02,0.000000000000e+00,1.228240963891e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729023972210e+06,1.142389535893e+08,9.393488372093e+05
3.860000000000e+02,0.000000000000e+00,1.227709320036e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729013176888e+06,1.142266872914e+08,9.393488372093e+05
